,bug_id,jira_id
0,103,807
0,68,630
0,184,1131
0,201,1219
0,181,1116
0,214,1242
0,223,1271
0,122,921
0,171,51
0,179,1118
0,172,948
2,251,1395
0,140,992
1,178,1112
0,246,1370
0,153,1072
0,180,1114
0,54,521
0,195,1163
0,59,571
0,252,1396
1,247,1374
0,197,1178
4,133,971
0,48,535
0,38,419
4,249,1364
0,102,805
0,240,1310
0,200,1232
0,110,828
0,44,464
0,112,832
0,185,1132
0,51,567
4,77,664
0,170,1092
0,129,951
0,83,428
0,92,746
0,242,1319
0,231,1287
0,70,638
0,209,1199
0,137,981
0,132,972
0,182,916
0,139,987
0,87,703
0,78,636
0,130,936
0,183,456
0,115,822
